Batsman,Bowler,Zeroes,Ones,Twos,Threes,Fours,Fives,Sixes,Sevens,Dismissed,Runs,Balls,SR
Yuvraj Singh,JP Faulkner,0,2,1,0,0,0,2,0,0,16,5,320
AD Mathews,TG Southee,0,3,0,0,1,0,0,0,0,7,4,175
AD Mathews,CH Morris,1,3,0,0,0,0,0,0,0,3,4,75
AD Mathews,JP Faulkner,1,1,1,0,2,0,1,0,0,17,6,283.33
AM Rahane,JD Unadkat,6,4,1,0,1,0,1,0,0,16,13,123.07
AM Rahane,NM Coulter-Nile,3,2,0,0,1,0,1,0,0,12,7,171.42
AM Rahane,AD Mathews,2,4,0,0,0,0,0,0,0,4,6,66.66
AM Rahane,A Mishra,0,2,1,0,0,0,0,0,0,4,3,133.33
AM Rahane,Imran Tahir,4,2,0,0,0,0,0,0,1,2,6,33.33
AM Rahane,Yuvraj Singh,0,3,0,0,0,0,1,0,0,9,4,225
SV Samson,JD Unadkat,0,1,0,0,0,0,0,0,0,1,1,100
SV Samson,NM Coulter-Nile,3,1,2,0,1,0,0,0,0,9,7,128.57
SV Samson,AD Mathews,3,1,0,0,0,0,0,0,1,1,4,25
SPD Smith,NM Coulter-Nile,3,0,0,0,1,0,0,0,0,4,4,100
SPD Smith,AD Mathews,0,2,0,0,1,0,0,0,0,6,3,200
SPD Smith,A Mishra,2,0,0,0,0,0,0,0,1,0,2,0
KK Nair,A Mishra,3,1,1,0,3,0,0,0,1,15,8,187.5
KK Nair,Imran Tahir,1,1,2,0,0,0,0,0,0,5,4,125
STR Binny,Imran Tahir,1,1,0,0,0,0,0,0,1,1,2,50
DJ Hooda,JD Unadkat,1,1,0,0,0,0,2,0,0,13,4,325
DJ Hooda,NM Coulter-Nile,0,1,1,0,1,0,0,0,0,7,3,233.33
DJ Hooda,AD Mathews,0,1,1,0,2,0,1,0,0,17,5,340
DJ Hooda,A Mishra,2,3,2,0,0,0,0,0,0,7,7,100
DJ Hooda,Imran Tahir,1,2,0,0,0,0,1,0,1,8,4,200
DJ Hooda,Yuvraj Singh,0,2,0,0,0,0,0,0,0,2,2,100
JP Faulkner,NM Coulter-Nile,0,1,0,0,2,0,0,0,0,9,3,300
JP Faulkner,A Mishra,1,2,1,0,0,0,0,0,0,4,4,100
JP Faulkner,Imran Tahir,1,2,1,0,0,0,0,0,1,4,4,100
CH Morris,AD Mathews,0,2,0,0,1,0,0,0,0,6,3,200
CH Morris,Imran Tahir,1,1,0,0,0,0,1,0,0,7,3,233.33
TG Southee,AD Mathews,0,1,1,0,1,0,0,0,0,7,3,233.33
TG Southee,Imran Tahir,1,0,0,0,0,0,0,0,0,0,1,0
M Vijay,R Vinay Kumar,7,1,1,0,4,0,0,0,0,19,13,146.15
M Vijay,P Suyal,4,0,0,0,0,0,0,0,0,0,4,0
M Vijay,SL Malinga,1,1,0,0,0,0,0,0,0,1,2,50
M Vijay,Harbhajan Singh,1,3,0,0,0,0,0,0,1,3,4,75
M Vijay,J Suchith,1,2,1,0,2,0,0,0,0,12,6,200
V Sehwag,R Vinay Kumar,0,2,0,0,2,0,1,0,0,16,5,320
V Sehwag,P Suyal,4,2,0,0,2,0,0,0,0,10,8,125
V Sehwag,SL Malinga,1,1,0,0,2,0,0,0,0,9,4,225
V Sehwag,Harbhajan Singh,1,1,0,0,0,0,0,0,1,1,2,50
GJ Maxwell,Harbhajan Singh,0,1,0,0,0,0,0,0,0,1,1,100
GJ Maxwell,J Suchith,1,1,0,0,1,0,0,0,1,5,3,166.66
DA Miller,SL Malinga,2,2,0,0,0,0,0,0,1,2,4,50
DA Miller,Harbhajan Singh,5,4,1,0,1,0,0,0,0,10,11,90.9
DA Miller,J Suchith,1,3,0,0,1,0,0,0,0,7,5,140
DA Miller,KA Pollard,1,1,0,0,1,0,0,0,0,5,3,166.66
GJ Bailey,R Vinay Kumar,0,2,1,0,0,0,1,0,0,10,4,250
GJ Bailey,P Suyal,0,2,0,0,2,0,0,0,0,10,4,250
GJ Bailey,SL Malinga,1,5,0,0,1,0,1,0,0,15,8,187.5
GJ Bailey,Harbhajan Singh,2,3,1,0,0,0,0,0,0,5,6,83.33
GJ Bailey,J Suchith,0,3,3,0,0,0,1,0,0,15,7,214.28
GJ Bailey,KA Pollard,0,2,0,0,1,0,0,0,0,6,3,200
R Dhawan,SL Malinga,1,1,0,0,1,0,0,0,1,5,3,166.66
R Dhawan,J Suchith,2,1,0,0,0,0,0,0,0,1,3,33.33
MG Johnson,R Vinay Kumar,1,1,0,0,0,0,0,0,0,1,2,50
MG Johnson,P Suyal,1,1,0,0,0,0,0,0,0,1,2,50
MG Johnson,SL Malinga,2,1,0,0,0,0,0,0,0,1,3,33.33
RG Sharma,Sandeep Sharma,2,0,0,0,0,0,0,0,1,0,2,0
AJ Finch,Sandeep Sharma,5,2,0,0,0,0,0,0,0,2,7,28.57
AJ Finch,Anureet Singh,3,0,1,0,1,0,0,0,0,6,5,120
AJ Finch,MG Johnson,2,0,0,0,0,0,0,0,1,0,2,0
AP Tare,Sandeep Sharma,2,4,0,0,0,0,0,0,0,4,6,66.66
AP Tare,Anureet Singh,2,1,1,0,0,0,0,0,1,3,4,75
AT Rayudu,Sandeep Sharma,3,1,0,0,0,0,0,0,0,1,4,25
AT Rayudu,Anureet Singh,4,0,0,0,0,0,0,0,0,0,4,0
AT Rayudu,MG Johnson,3,0,0,0,1,0,0,0,1,4,4,100
AT Rayudu,AR Patel,2,2,0,0,0,0,0,0,0,2,4,50
AT Rayudu,R Dhawan,0,2,0,0,1,0,0,0,0,6,3,200
CJ Anderson,Sandeep Sharma,3,1,0,0,1,0,0,0,0,5,5,100
CJ Anderson,MG Johnson,4,0,0,0,0,0,0,0,0,0,4,0
CJ Anderson,AR Patel,2,0,0,0,0,0,0,0,1,0,2,0
KA Pollard,MG Johnson,5,2,0,0,0,0,0,0,0,2,7,28.57
KA Pollard,AR Patel,3,3,1,0,1,0,0,0,1,9,8,112.5
KA Pollard,R Dhawan,2,3,0,0,0,0,1,0,0,9,6,150
J Suchith,Anureet Singh,1,1,0,0,0,0,0,0,0,1,2,50
J Suchith,MG Johnson,2,0,0,0,1,0,1,0,0,10,4,250
J Suchith,AR Patel,2,3,0,0,2,0,1,0,0,17,8,212.5
J Suchith,R Dhawan,4,2,0,0,1,0,0,0,0,6,7,85.71
Harbhajan Singh,Anureet Singh,4,1,0,0,1,0,4,0,1,29,10,290
Harbhajan Singh,MG Johnson,1,1,0,0,0,0,1,0,0,7,3,233.33
Harbhajan Singh,AR Patel,0,2,0,0,0,0,0,0,0,2,2,100
Harbhajan Singh,R Dhawan,1,2,1,0,4,0,1,0,0,26,9,288.88
CH Gayle,TA Boult,3,1,1,0,0,0,1,0,0,9,6,150
CH Gayle,B Kumar,5,0,0,0,2,0,0,0,0,8,7,114.28
CH Gayle,P Kumar,2,0,0,0,1,0,0,0,1,4,3,133.33
